COMPONENT	NUMBER OF GENES	BETA	BETA_STD	SE	P	BONFERONNI	DATASET	DISEASE_NAME
259	11	0.0038	9.36e-05	0.238	0.49362	0	CG	DS
262	10	0.369	0.00867	0.242	0.063765	0	CG	DS
268	14	-0.417	-0.0116	0.215	0.97378	0	CG	DS
270	9	0.0828	0.00184	0.261	0.37553	0	CG	DS
271	25	-0.0913	-0.00339	0.177	0.69653	0	CG	DS
272	11	0.645	0.0159	0.28	0.010574	0	CG	DS
280	27	-0.145	-0.00559	0.151	0.8316	0	CG	DS
282	11	-0.319	-0.00785	0.224	0.92319	0	CG	DS
302	7	0.106	0.00208	0.365	0.38598	0	CG	DS
309	12	-0.116	-0.00299	0.249	0.67987	0	CG	DS
312	19	-0.186	-0.00602	0.178	0.85191	0	CG	DS
327	18	-0.205	-0.00644	0.194	0.85372	0	CG	DS
332	16	0.533	0.0158	0.186	0.0020733	0	CG	DS
333	26	0.00297	0.000113	0.146	0.49186	0	CG	DS
334	17	-0.0268	-0.00082	0.185	0.5577	0	CG	DS
339	12	-0.347	-0.00892	0.229	0.93508	0	CG	DS
341	11	0.114	0.0028	0.203	0.28764	0	CG	DS
342	25	-0.204	-0.00757	0.154	0.90801	0	CG	DS
359	9	0.0591	0.00132	0.236	0.40128	0	CG	DS
368	13	-0.507	-0.0136	0.241	0.98233	0	CG	DS
369	12	0.111	0.00286	0.215	0.30283	0	CG	DS
370	10	-0.0688	-0.00162	0.288	0.59438	0	CG	DS
378	7	-0.671	-0.0132	0.289	0.9898	0	CG	DS
380	31	-0.148	-0.0061	0.147	0.84318	0	CG	DS
381	18	0.138	0.00434	0.213	0.25843	0	CG	DS
383	15	0.234	0.00672	0.238	0.16275	0	CG	DS
387	14	0.0849	0.00236	0.211	0.34349	0	CG	DS
389	15	0.11	0.00317	0.203	0.29315	0	CG	DS
390	23	0.0323	0.00115	0.161	0.42037	0	CG	DS
397	14	-0.11	-0.00305	0.221	0.69041	0	CG	DS
402	20	0.164	0.00545	0.201	0.20718	0	CG	DS
405	23	-0.121	-0.00432	0.161	0.77458	0	CG	DS
417	4	-0.169	-0.00252	0.342	0.68968	0	CG	DS
419	29	0.0308	0.00123	0.157	0.42215	0	CG	DS
420	10	0.321	0.00754	0.233	0.083983	0	CG	DS
421	9	0.0469	0.00104	0.253	0.42665	0	CG	DS
423	22	0.0224	0.000779	0.171	0.44805	0	CG	DS
424	16	-0.0958	-0.00284	0.209	0.67655	0	CG	DS
431	6	-0.247	-0.00448	0.388	0.73743	0	CG	DS
451	17	-0.0997	-0.00305	0.185	0.70525	0	CG	DS
454	26	-0.291	-0.011	0.161	0.96484	0	CG	DS
470	4	-0.202	-0.003	0.533	0.64752	0	CG	DS
477	20	0.143	0.00475	0.175	0.2066	0	CG	DS
482	11	0.178	0.00438	0.223	0.21288	0	CG	DS
486	14	-0.266	-0.00739	0.209	0.89874	0	CG	DS
491	17	-0.355	-0.0109	0.199	0.96294	0	CG	DS
493	19	-0.113	-0.00365	0.181	0.73317	0	CG	DS
28	15	0.0647	0.00186	0.208	0.37814	0	FF	DS
34	17	0.0516	0.00158	0.207	0.40145	0	FF	DS
50	9	0.552	0.0123	0.263	0.018093	0	FF	DS
52	15	-0.352	-0.0101	0.227	0.93947	0	FF	DS
61	31	-0.0608	-0.00251	0.154	0.65367	0	FF	DS
70	14	-0.163	-0.00452	0.233	0.7575	0	FF	DS
73	10	0.00438	0.000103	0.262	0.49333	0	FF	DS
82	11	0.129	0.00316	0.249	0.30322	0	FF	DS
84	3	0.351	0.00452	0.499	0.24088	0	FF	DS
90	6	-0.286	-0.0052	0.366	0.78237	0	FF	DS
91	27	-0.21	-0.00811	0.149	0.9205	0	FF	DS
93	26	-0.322	-0.0122	0.146	0.98602	0	FF	DS
96	21	-0.286	-0.00973	0.162	0.96126	0	FF	DS
105	2	-0.2	-0.0021	0.685	0.61469	0	FF	DS
121	9	0.215	0.00479	0.263	0.20696	0	FF	DS
140	9	0.0824	0.00184	0.261	0.37622	0	FF	DS
148	11	0.0726	0.00179	0.207	0.36293	0	FF	DS
152	21	-0.0869	-0.00296	0.178	0.68697	0	FF	DS
170	5	-0.606	-0.0101	0.372	0.94848	0	FF	DS
174	18	-0.309	-0.00972	0.169	0.96573	0	FF	DS
180	13	0.0784	0.0021	0.199	0.34671	0	FF	DS
201	28	-0.166	-0.00653	0.169	0.83761	0	FF	DS
202	30	-0.0713	-0.0029	0.147	0.68627	0	FF	DS
206	3	-0.993	-0.0128	0.557	0.96265	0	FF	DS
215	32	-0.0525	-0.0022	0.142	0.64361	0	FF	DS
221	14	0.0786	0.00218	0.203	0.3494	0	FF	DS
222	19	-0.0741	-0.0024	0.209	0.63868	0	FF	DS
281	24	0.264	0.00961	0.172	0.062105	0	FF	DS
306	3	-0.208	-0.00268	0.482	0.66706	0	FF	DS
307	34	-0.119	-0.00514	0.142	0.7993	0	FF	DS
312	15	-0.368	-0.0106	0.204	0.96485	0	FF	DS
317	37	-0.0157	-0.00071	0.12	0.55237	0	FF	DS
319	25	-0.204	-0.00757	0.168	0.88825	0	FF	DS
337	13	-0.335	-0.00897	0.211	0.944	0	FF	DS
338	19	0.0625	0.00202	0.163	0.35087	0	FF	DS
343	26	0.033	0.00125	0.18	0.42702	0	FF	DS
347	18	0.25	0.00787	0.199	0.10459	0	FF	DS
353	30	-0.0178	-0.000723	0.139	0.55103	0	FF	DS
363	12	-0.014	-0.00036	0.239	0.52329	0	FF	DS
369	16	0.189	0.00563	0.175	0.1389	0	FF	DS
371	23	-0.0225	-0.000801	0.16	0.55601	0	FF	DS
375	26	-0.144	-0.00546	0.148	0.83496	0	FF	DS
392	19	-0.317	-0.0103	0.157	0.97848	0	FF	DS
403	8	-0.0601	-0.00126	0.276	0.58605	0	FF	DS
407	21	-0.241	-0.00821	0.16	0.93395	0	FF	DS
419	29	-0.157	-0.00626	0.152	0.84885	0	FF	DS
421	26	0.054	0.00204	0.157	0.3653	0	FF	DS
435	14	-0.198	-0.0055	0.193	0.84764	0	FF	DS
439	20	-0.247	-0.0082	0.182	0.913	0	FF	DS
451	23	-0.123	-0.00436	0.156	0.78421	0	FF	DS
468	4	0.398	0.00591	0.478	0.20247	0	FF	DS
474	7	-0.258	-0.00507	0.272	0.8285	0	FF	DS
476	3	-0.311	-0.004	0.48	0.74151	0	FF	DS
477	30	-0.139	-0.00564	0.153	0.81745	0	FF	DS
487	7	-0.515	-0.0101	0.34	0.93518	0	FF	DS
489	15	-0.0692	-0.00199	0.195	0.63864	0	FF	DS
26	41	0.0347	0.00165	0.124	0.38974	0	FF	DS
2	31	-0.223	-0.00945	0.144	0.93849	0	CG	GIANT_BMI
3	13	-0.215	-0.0059	0.221	0.8338	0	CG	GIANT_BMI
8	12	0.00932	0.000246	0.219	0.48299	0	CG	GIANT_BMI
11	15	-0.225	-0.00664	0.202	0.86675	0	CG	GIANT_BMI
13	11	0.0461	0.00117	0.274	0.4331	0	CG	GIANT_BMI
16	10	0.0758	0.00183	0.262	0.38641	0	CG	GIANT_BMI
19	17	-0.262	-0.00823	0.203	0.90125	0	CG	GIANT_BMI
23	22	-0.236	-0.00845	0.156	0.93556	0	CG	GIANT_BMI
27	16	-0.0355	-0.00108	0.203	0.56943	0	CG	GIANT_BMI
30	22	-0.0222	-0.000794	0.174	0.55088	0	CG	GIANT_BMI
38	7	0.495	0.00998	0.334	0.069326	0	CG	GIANT_BMI
40	15	-0.371	-0.0109	0.218	0.95522	0	CG	GIANT_BMI
42	15	-0.422	-0.0124	0.216	0.97476	0	CG	GIANT_BMI
46	12	-0.0546	-0.00144	0.243	0.58887	0	CG	GIANT_BMI
49	9	-0.969	-0.0222	0.295	0.99949	0	CG	GIANT_BMI
61	14	0.00138	3.94e-05	0.278	0.49802	0	CG	GIANT_BMI
74	6	-0.0472	-0.000883	0.316	0.55934	0	CG	GIANT_BMI
75	18	-0.271	-0.00876	0.175	0.93954	0	CG	GIANT_BMI
78	7	-0.00806	-0.000163	0.335	0.50958	0	CG	GIANT_BMI
87	26	-0.174	-0.00675	0.158	0.86346	0	CG	GIANT_BMI
88	26	-0.0247	-0.000961	0.146	0.56715	0	CG	GIANT_BMI
89	23	0.0843	0.00308	0.155	0.29295	0	CG	GIANT_BMI
106	20	-0.122	-0.00415	0.185	0.7445	0	CG	GIANT_BMI
108	8	0.154	0.00332	0.298	0.30261	0	CG	GIANT_BMI
111	20	0.095	0.00324	0.163	0.2804	0	CG	GIANT_BMI
112	18	0.139	0.0045	0.214	0.25718	0	CG	GIANT_BMI
113	16	-0.308	-0.0094	0.188	0.9497	0	CG	GIANT_BMI
116	29	-0.22	-0.00902	0.142	0.93857	0	CG	GIANT_BMI
117	11	0.0871	0.0022	0.267	0.37196	0	CG	GIANT_BMI
118	14	0.1	0.00286	0.23	0.3311	0	CG	GIANT_BMI
119	8	-0.038	-0.000819	0.332	0.54556	0	CG	GIANT_BMI
122	27	0.0826	0.00327	0.143	0.28241	0	CG	GIANT_BMI
132	12	-0.112	-0.00295	0.254	0.67002	0	CG	GIANT_BMI
134	17	-0.124	-0.00391	0.208	0.72463	0	CG	GIANT_BMI
147	9	-0.262	-0.006	0.329	0.78728	0	CG	GIANT_BMI
149	4	-0.0307	-0.000469	0.442	0.52771	0	CG	GIANT_BMI
150	3	0.0942	0.00124	0.674	0.4444	0	CG	GIANT_BMI
151	11	-0.0304	-0.00077	0.26	0.54659	0	CG	GIANT_BMI
154	29	-0.168	-0.00688	0.156	0.85841	0	CG	GIANT_BMI
158	26	-0.285	-0.0111	0.174	0.94913	0	CG	GIANT_BMI
171	8	-0.166	-0.00357	0.342	0.68608	0	CG	GIANT_BMI
176	20	0.0486	0.00166	0.178	0.39223	0	CG	GIANT_BMI
187	21	-0.165	-0.00578	0.197	0.79969	0	CG	GIANT_BMI
188	9	-0.431	-0.00987	0.281	0.93748	0	CG	GIANT_BMI
189	26	-0.0254	-0.000988	0.157	0.56423	0	CG	GIANT_BMI
194	22	-0.145	-0.00518	0.182	0.78696	0	CG	GIANT_BMI
196	8	0.0136	0.000294	0.346	0.4843	0	CG	GIANT_BMI
200	9	-0.183	-0.00418	0.246	0.77145	0	CG	GIANT_BMI
207	20	-0.558	-0.019	0.173	0.99938	0	CG	GIANT_BMI
209	25	0.164	0.00626	0.167	0.1628	0	CG	GIANT_BMI
212	22	-0.142	-0.00507	0.167	0.80273	0	CG	GIANT_BMI
213	25	0.307	0.0117	0.173	0.037906	0	CG	GIANT_BMI
217	18	-0.495	-0.016	0.189	0.99553	0	CG	GIANT_BMI
228	6	0.386	0.00721	0.3	0.098931	0	CG	GIANT_BMI
231	17	0.0396	0.00124	0.211	0.42547	0	CG	GIANT_BMI
234	16	0.167	0.00509	0.198	0.20014	0	CG	GIANT_BMI
237	15	-0.281	-0.00831	0.199	0.92108	0	CG	GIANT_BMI
239	22	-0.31	-0.0111	0.179	0.95863	0	CG	GIANT_BMI
240	7	-0.0462	-0.000932	0.368	0.54991	0	CG	GIANT_BMI
242	14	-0.108	-0.00309	0.211	0.69574	0	CG	GIANT_BMI
249	9	-0.105	-0.0024	0.307	0.63357	0	CG	GIANT_BMI
250	22	-0.134	-0.00479	0.181	0.7701	0	CG	GIANT_BMI
251	7	0.0499	0.00101	0.328	0.43956	0	CG	GIANT_BMI
257	18	-0.368	-0.0119	0.198	0.96828	0	CG	GIANT_BMI
259	10	-0.138	-0.00333	0.261	0.70159	0	CG	GIANT_BMI
262	8	-0.227	-0.00489	0.268	0.80125	0	CG	GIANT_BMI
268	13	0.0709	0.00195	0.242	0.38459	0	CG	GIANT_BMI
270	9	-0.151	-0.00346	0.228	0.74703	0	CG	GIANT_BMI
271	25	0.0131	0.000499	0.198	0.47363	0	CG	GIANT_BMI
272	11	0.301	0.00761	0.297	0.15519	0	CG	GIANT_BMI
280	27	-0.0201	-0.000797	0.149	0.55378	0	CG	GIANT_BMI
282	11	0.0482	0.00122	0.236	0.41913	0	CG	GIANT_BMI
302	7	-0.0672	-0.00136	0.394	0.5677	0	CG	GIANT_BMI
309	11	0.0201	0.000509	0.247	0.46751	0	CG	GIANT_BMI
312	19	0.0285	0.000946	0.168	0.43265	0	CG	GIANT_BMI
327	18	-0.0331	-0.00107	0.209	0.56283	0	CG	GIANT_BMI
332	16	0.0321	0.000978	0.193	0.43416	0	CG	GIANT_BMI
333	25	0.137	0.00522	0.158	0.19307	0	CG	GIANT_BMI
334	16	0.0898	0.00274	0.206	0.33146	0	CG	GIANT_BMI
339	12	0.0227	0.000599	0.238	0.46212	0	CG	GIANT_BMI
341	11	-0.0635	-0.00161	0.231	0.60822	0	CG	GIANT_BMI
342	24	-0.137	-0.00512	0.168	0.79341	0	CG	GIANT_BMI
359	7	-0.422	-0.00851	0.311	0.91249	0	CG	GIANT_BMI
368	13	-0.153	-0.0042	0.28	0.70691	0	CG	GIANT_BMI
369	11	-0.0983	-0.00249	0.244	0.65647	0	CG	GIANT_BMI
370	10	0.246	0.00593	0.214	0.12565	0	CG	GIANT_BMI
378	7	0.234	0.00473	0.318	0.23033	0	CG	GIANT_BMI
380	31	-0.000936	-3.97e-05	0.159	0.50235	0	CG	GIANT_BMI
381	19	-0.411	-0.0137	0.199	0.9807	0	CG	GIANT_BMI
383	14	0.238	0.00678	0.227	0.14784	0	CG	GIANT_BMI
387	14	0.126	0.00359	0.236	0.29747	0	CG	GIANT_BMI
389	12	-0.0826	-0.00218	0.222	0.64524	0	CG	GIANT_BMI
390	23	-0.0417	-0.00153	0.164	0.60069	0	CG	GIANT_BMI
397	14	0.429	0.0122	0.252	0.044412	0	CG	GIANT_BMI
402	20	0.117	0.00398	0.182	0.2604	0	CG	GIANT_BMI
405	22	0.22	0.00788	0.183	0.11465	0	CG	GIANT_BMI
417	4	0.322	0.0049	0.527	0.27074	0	CG	GIANT_BMI
419	28	-0.268	-0.0108	0.155	0.95829	0	CG	GIANT_BMI
420	10	0.337	0.00813	0.244	0.083815	0	CG	GIANT_BMI
421	8	-0.317	-0.00683	0.284	0.8675	0	CG	GIANT_BMI
423	22	-0.161	-0.00575	0.154	0.85203	0	CG	GIANT_BMI
424	16	-0.036	-0.0011	0.176	0.58101	0	CG	GIANT_BMI
431	5	0.131	0.00224	0.361	0.35818	0	CG	GIANT_BMI
451	17	-0.122	-0.00383	0.193	0.73627	0	CG	GIANT_BMI
454	26	-0.209	-0.00812	0.159	0.90588	0	CG	GIANT_BMI
470	4	0.71	0.0108	0.548	0.097359	0	CG	GIANT_BMI
477	20	-0.0969	-0.0033	0.162	0.72476	0	CG	GIANT_BMI
482	11	-0.155	-0.00392	0.273	0.71481	0	CG	GIANT_BMI
486	14	-0.418	-0.0119	0.214	0.97439	0	CG	GIANT_BMI
491	16	-0.0562	-0.00171	0.225	0.59855	0	CG	GIANT_BMI
493	18	-0.336	-0.0109	0.179	0.96937	0	CG	GIANT_BMI
28	14	0.208	0.00594	0.203	0.1528	0	FF	GIANT_BMI
34	16	-0.265	-0.00809	0.247	0.85897	0	FF	GIANT_BMI
50	9	-0.314	-0.00718	0.269	0.87817	0	FF	GIANT_BMI
52	15	0.305	0.009	0.227	0.089569	0	FF	GIANT_BMI
61	30	-0.293	-0.0122	0.169	0.95809	0	FF	GIANT_BMI
70	14	-0.19	-0.00543	0.25	0.77673	0	FF	GIANT_BMI
73	10	0.128	0.00309	0.302	0.3359	0	FF	GIANT_BMI
82	11	-0.0543	-0.00137	0.243	0.58837	0	FF	GIANT_BMI
84	3	0.0229	0.000302	0.448	0.47964	0	FF	GIANT_BMI
90	6	-0.562	-0.0105	0.373	0.93394	0	FF	GIANT_BMI
91	25	0.0565	0.00215	0.175	0.37314	0	FF	GIANT_BMI
93	24	-0.187	-0.00696	0.175	0.85641	0	FF	GIANT_BMI
96	19	0.0795	0.00264	0.191	0.33859	0	FF	GIANT_BMI
105	2	0.233	0.00252	0.73	0.37463	0	FF	GIANT_BMI
121	9	-0.129	-0.00296	0.294	0.6703	0	FF	GIANT_BMI
140	9	0.166	0.00381	0.261	0.26181	0	FF	GIANT_BMI
148	10	0.412	0.00993	0.24	0.043241	0	FF	GIANT_BMI
152	21	-0.0238	-0.000831	0.186	0.55088	0	FF	GIANT_BMI
170	5	-0.0516	-0.00088	0.4	0.55137	0	FF	GIANT_BMI
174	17	-0.103	-0.00324	0.191	0.70583	0	FF	GIANT_BMI
180	13	-0.148	-0.00406	0.24	0.73044	0	FF	GIANT_BMI
201	28	0.0241	0.000972	0.167	0.44257	0	FF	GIANT_BMI
202	30	0.248	0.0104	0.15	0.048885	0	FF	GIANT_BMI
206	3	0.398	0.00525	0.591	0.25051	0	FF	GIANT_BMI
215	32	-0.159	-0.00687	0.147	0.86025	0	FF	GIANT_BMI
221	14	-0.0693	-0.00198	0.244	0.61186	0	FF	GIANT_BMI
222	19	0.125	0.00414	0.207	0.27368	0	FF	GIANT_BMI
281	23	-0.0368	-0.00134	0.177	0.58249	0	FF	GIANT_BMI
306	3	0.576	0.00761	0.549	0.14674	0	FF	GIANT_BMI
307	34	0.0841	0.00374	0.14	0.27388	0	FF	GIANT_BMI
312	14	0.0843	0.0024	0.21	0.34386	0	FF	GIANT_BMI
317	37	-0.235	-0.0109	0.144	0.94902	0	FF	GIANT_BMI
319	25	-0.187	-0.00713	0.162	0.87525	0	FF	GIANT_BMI
337	13	0.0655	0.0018	0.238	0.39156	0	FF	GIANT_BMI
338	19	-0.278	-0.00925	0.202	0.91573	0	FF	GIANT_BMI
343	26	0.116	0.00452	0.175	0.25333	0	FF	GIANT_BMI
347	17	-0.172	-0.00541	0.233	0.76991	0	FF	GIANT_BMI
353	28	-0.187	-0.00755	0.15	0.89469	0	FF	GIANT_BMI
363	11	-0.225	-0.00568	0.281	0.78792	0	FF	GIANT_BMI
369	16	0.488	0.0149	0.202	0.0077522	0	FF	GIANT_BMI
371	23	-0.026	-0.000951	0.173	0.55959	0	FF	GIANT_BMI
375	26	0.117	0.00455	0.167	0.24139	0	FF	GIANT_BMI
392	19	-0.0693	-0.0023	0.183	0.64766	0	FF	GIANT_BMI
403	8	0.392	0.00846	0.341	0.12514	0	FF	GIANT_BMI
407	20	-0.0813	-0.00277	0.204	0.65484	0	FF	GIANT_BMI
419	27	-0.159	-0.00628	0.156	0.84459	0	FF	GIANT_BMI
421	25	0.0589	0.00224	0.162	0.35771	0	FF	GIANT_BMI
435	14	-0.103	-0.00294	0.224	0.6774	0	FF	GIANT_BMI
439	19	0.146	0.00484	0.174	0.20076	0	FF	GIANT_BMI
451	23	-0.0238	-0.00087	0.151	0.56247	0	FF	GIANT_BMI
468	4	-0.297	-0.00453	0.513	0.71883	0	FF	GIANT_BMI
474	6	-0.203	-0.0038	0.367	0.70995	0	FF	GIANT_BMI
476	3	1.07	0.0141	0.538	0.023443	0	FF	GIANT_BMI
477	30	0.0613	0.00256	0.152	0.34307	0	FF	GIANT_BMI
487	7	0.608	0.0123	0.367	0.048908	0	FF	GIANT_BMI
489	15	0.0408	0.0012	0.215	0.42464	0	FF	GIANT_BMI
26	39	-0.0278	-0.00132	0.138	0.58017	0	FF	GIANT_BMI
2	31	-0.202	-0.00857	0.173	0.87914	0	CG	GIANT_BMI_HEIGHT
3	13	0.206	0.00566	0.264	0.21821	0	CG	GIANT_BMI_HEIGHT
8	12	0.0689	0.00182	0.259	0.39516	0	CG	GIANT_BMI_HEIGHT
11	15	0.147	0.00434	0.242	0.27164	0	CG	GIANT_BMI_HEIGHT
13	11	-0.434	-0.011	0.327	0.90753	0	CG	GIANT_BMI_HEIGHT
16	10	0.249	0.00601	0.313	0.21285	0	CG	GIANT_BMI_HEIGHT
19	17	-0.0257	-0.000809	0.243	0.54222	0	CG	GIANT_BMI_HEIGHT
23	22	-0.079	-0.00282	0.186	0.6645	0	CG	GIANT_BMI_HEIGHT
27	16	-0.496	-0.0151	0.242	0.97999	0	CG	GIANT_BMI_HEIGHT
30	22	-0.294	-0.0105	0.207	0.9221	0	CG	GIANT_BMI_HEIGHT
38	7	0.108	0.00219	0.399	0.39289	0	CG	GIANT_BMI_HEIGHT
40	15	-0.405	-0.012	0.261	0.93964	0	CG	GIANT_BMI_HEIGHT
42	15	0.00615	0.000182	0.257	0.49047	0	CG	GIANT_BMI_HEIGHT
46	12	-0.237	-0.00625	0.29	0.79251	0	CG	GIANT_BMI_HEIGHT
49	9	0.21	0.0048	0.352	0.27558	0	CG	GIANT_BMI_HEIGHT
61	14	0.268	0.00763	0.332	0.20993	0	CG	GIANT_BMI_HEIGHT
74	6	-0.0783	-0.00146	0.378	0.58202	0	CG	GIANT_BMI_HEIGHT
75	18	0.0149	0.000481	0.209	0.47162	0	CG	GIANT_BMI_HEIGHT
78	7	-0.185	-0.00373	0.4	0.67814	0	CG	GIANT_BMI_HEIGHT
87	26	-0.0335	-0.0013	0.189	0.57022	0	CG	GIANT_BMI_HEIGHT
88	26	0.139	0.0054	0.175	0.21316	0	CG	GIANT_BMI_HEIGHT
89	23	0.0731	0.00267	0.185	0.34614	0	CG	GIANT_BMI_HEIGHT
106	20	-0.0502	-0.00171	0.221	0.58967	0	CG	GIANT_BMI_HEIGHT
108	8	-0.109	-0.00235	0.356	0.62034	0	CG	GIANT_BMI_HEIGHT
111	20	-0.228	-0.00779	0.195	0.87935	0	CG	GIANT_BMI_HEIGHT
112	18	-0.177	-0.00573	0.255	0.75646	0	CG	GIANT_BMI_HEIGHT
113	16	0.00787	0.00024	0.224	0.486	0	CG	GIANT_BMI_HEIGHT
116	29	0.231	0.0095	0.17	0.086865	0	CG	GIANT_BMI_HEIGHT
117	11	-0.029	-0.000734	0.318	0.53633	0	CG	GIANT_BMI_HEIGHT
118	14	-0.121	-0.00345	0.274	0.67029	0	CG	GIANT_BMI_HEIGHT
119	8	0.186	0.00401	0.396	0.31949	0	CG	GIANT_BMI_HEIGHT
122	27	0.201	0.00796	0.171	0.11963	0	CG	GIANT_BMI_HEIGHT
134	17	-0.0866	-0.00272	0.249	0.63603	0	CG	GIANT_BMI_HEIGHT
147	9	-0.596	-0.0136	0.393	0.93548	0	CG	GIANT_BMI_HEIGHT
149	4	-0.0506	-0.000772	0.528	0.53821	0	CG	GIANT_BMI_HEIGHT
150	3	-1.16	-0.0153	0.805	0.92476	0	CG	GIANT_BMI_HEIGHT
151	11	0.332	0.00841	0.311	0.14218	0	CG	GIANT_BMI_HEIGHT
154	29	0.139	0.0057	0.187	0.22882	0	CG	GIANT_BMI_HEIGHT
158	26	-0.193	-0.0075	0.208	0.82367	0	CG	GIANT_BMI_HEIGHT
171	8	-0.336	-0.00724	0.408	0.79446	0	CG	GIANT_BMI_HEIGHT
176	20	0.309	0.0105	0.211	0.071557	0	CG	GIANT_BMI_HEIGHT
187	21	-0.271	-0.00948	0.235	0.876	0	CG	GIANT_BMI_HEIGHT
188	9	-0.495	-0.0113	0.336	0.9297	0	CG	GIANT_BMI_HEIGHT
189	26	0.135	0.00523	0.188	0.2365	0	CG	GIANT_BMI_HEIGHT
194	22	-0.39	-0.0139	0.217	0.96358	0	CG	GIANT_BMI_HEIGHT
196	8	-0.285	-0.00614	0.413	0.75438	0	CG	GIANT_BMI_HEIGHT
200	9	-0.00667	-0.000153	0.293	0.50907	0	CG	GIANT_BMI_HEIGHT
207	20	0.18	0.00614	0.206	0.19126	0	CG	GIANT_BMI_HEIGHT
209	25	0.0594	0.00226	0.199	0.38286	0	CG	GIANT_BMI_HEIGHT
212	22	-0.357	-0.0128	0.199	0.9636	0	CG	GIANT_BMI_HEIGHT
213	25	-0.149	-0.00566	0.206	0.76416	0	CG	GIANT_BMI_HEIGHT
217	18	-0.374	-0.0121	0.226	0.9509	0	CG	GIANT_BMI_HEIGHT
228	6	0.338	0.00632	0.358	0.17212	0	CG	GIANT_BMI_HEIGHT
231	17	-0.293	-0.0092	0.251	0.87777	0	CG	GIANT_BMI_HEIGHT
234	16	0.311	0.00948	0.237	0.094882	0	CG	GIANT_BMI_HEIGHT
237	15	0.117	0.00346	0.238	0.31105	0	CG	GIANT_BMI_HEIGHT
239	22	-0.407	-0.0146	0.214	0.97135	0	CG	GIANT_BMI_HEIGHT
240	7	0.474	0.00955	0.44	0.14086	0	CG	GIANT_BMI_HEIGHT
242	14	-0.191	-0.00546	0.252	0.77593	0	CG	GIANT_BMI_HEIGHT
249	9	0.252	0.00577	0.367	0.24587	0	CG	GIANT_BMI_HEIGHT
250	22	-0.0927	-0.00331	0.217	0.66567	0	CG	GIANT_BMI_HEIGHT
251	7	-0.678	-0.0137	0.392	0.9582	0	CG	GIANT_BMI_HEIGHT
257	18	-0.289	-0.00934	0.237	0.88864	0	CG	GIANT_BMI_HEIGHT
259	10	0.427	0.0103	0.312	0.085303	0	CG	GIANT_BMI_HEIGHT
262	8	-0.127	-0.00274	0.321	0.65362	0	CG	GIANT_BMI_HEIGHT
268	13	-0.295	-0.0081	0.289	0.84652	0	CG	GIANT_BMI_HEIGHT
270	9	-0.183	-0.00418	0.272	0.7493	0	CG	GIANT_BMI_HEIGHT
271	25	-0.0115	-0.000439	0.236	0.51945	0	CG	GIANT_BMI_HEIGHT
272	11	0.0447	0.00113	0.354	0.44982	0	CG	GIANT_BMI_HEIGHT
280	27	-0.272	-0.0108	0.178	0.93726	0	CG	GIANT_BMI_HEIGHT
282	11	0.348	0.0088	0.282	0.10891	0	CG	GIANT_BMI_HEIGHT
302	7	-0.674	-0.0136	0.471	0.92376	0	CG	GIANT_BMI_HEIGHT
309	11	-0.58	-0.0147	0.296	0.97506	0	CG	GIANT_BMI_HEIGHT
312	19	-0.0752	-0.0025	0.2	0.6463	0	CG	GIANT_BMI_HEIGHT
327	18	-0.0238	-0.000771	0.25	0.53799	0	CG	GIANT_BMI_HEIGHT
332	16	-0.427	-0.013	0.231	0.96779	0	CG	GIANT_BMI_HEIGHT
333	25	-0.102	-0.00387	0.189	0.70489	0	CG	GIANT_BMI_HEIGHT
334	16	-0.159	-0.00486	0.246	0.74171	0	CG	GIANT_BMI_HEIGHT
339	12	0.172	0.00455	0.285	0.27274	0	CG	GIANT_BMI_HEIGHT
341	11	0.0266	0.000673	0.276	0.46161	0	CG	GIANT_BMI_HEIGHT
342	24	-0.214	-0.008	0.2	0.85786	0	CG	GIANT_BMI_HEIGHT
359	7	-0.27	-0.00544	0.371	0.76624	0	CG	GIANT_BMI_HEIGHT
368	13	-0.223	-0.00612	0.335	0.74693	0	CG	GIANT_BMI_HEIGHT
369	11	0.19	0.00481	0.291	0.25687	0	CG	GIANT_BMI_HEIGHT
370	10	-0.112	-0.0027	0.256	0.66912	0	CG	GIANT_BMI_HEIGHT
378	7	0.173	0.0035	0.379	0.32379	0	CG	GIANT_BMI_HEIGHT
380	31	-0.0497	-0.00211	0.19	0.60308	0	CG	GIANT_BMI_HEIGHT
381	19	-0.2	-0.00665	0.237	0.80033	0	CG	GIANT_BMI_HEIGHT
383	14	0.375	0.0107	0.272	0.08356	0	CG	GIANT_BMI_HEIGHT
387	14	0.235	0.00672	0.282	0.20226	0	CG	GIANT_BMI_HEIGHT
389	12	-0.0874	-0.00231	0.266	0.62892	0	CG	GIANT_BMI_HEIGHT
390	23	0.0433	0.00158	0.195	0.41236	0	CG	GIANT_BMI_HEIGHT
397	14	-0.288	-0.00823	0.301	0.83105	0	CG	GIANT_BMI_HEIGHT
402	20	-0.231	-0.00786	0.217	0.85594	0	CG	GIANT_BMI_HEIGHT
405	22	0.041	0.00147	0.219	0.4257	0	CG	GIANT_BMI_HEIGHT
417	4	-0.109	-0.00167	0.629	0.56896	0	CG	GIANT_BMI_HEIGHT
419	28	0.00249	1e-04	0.185	0.49463	0	CG	GIANT_BMI_HEIGHT
420	10	-0.442	-0.0107	0.292	0.93513	0	CG	GIANT_BMI_HEIGHT
